"","yearMonth15","station_id","depth","A-TOT","BOD5","Chl-a","CO2","Density","NH4-N","NO2-N","NO3-N","NO3-N + NO2-N","NO3/PO4","O2","O2_sat","Org-N","pH","PO4-P","SAL","SECCHI","SiO3-Si","T","TOT-N","TOT-N/TOT-P","TOT-P"
"102",1980-01-15,"00MA",5,2.81,NA,NA,2.39,28.82,9.84,0.98,1.61,2.59,80.5,280.46,100.3,NA,8.41,0.02,37.32,NA,NA,9.78,NA,NA,1.33
"103",1980-01-15,"00MA",10,2.78,NA,NA,2.36,29.15,3.1,1.1,1.58,2.68,19.75,279.57,100.3,NA,8.41,0.08,37.74,NA,NA,9.77,NA,NA,1.03
"104",1980-01-15,"00MA",16,2.81,NA,NA,2.35,29.2,21.24,0.95,1.31,2.26,26.2,279.57,100,87.96,8.43,0.05,37.77,NA,NA,9.62,101.89,92.63,1.1
"105",1980-02-15,"000K",0,3.08,44.21,NA,2.43,29.96,0.68,0.02,0.01,0.03,1,304.58,108.2,36.47,8.73,0.01,38.62,NA,NA,9.08,46.05,56.85,0.81
"106",1980-02-15,"000K",5,3.17,NA,NA,2.49,30.79,0.76,0.01,0.08,0.09,8,304.13,108.9,NA,8.78,0.01,39.72,NA,NA,9.1,NA,NA,0.65
"107",1980-02-15,"000K",10,3.07,NA,NA,2.42,29.99,0.88,0.02,0.12,0.14,0.5,311.28,110.7,NA,8.77,0.24,38.66,NA,NA,9.08,NA,NA,4.69
"108",1980-02-15,"000K",16,3.03,29.03,NA,2.39,30.52,0.59,0.07,0.34,0.41,8.5,300.56,107.2,13.69,8.74,0.04,39.34,NA,NA,9.08,17.15,21.99,0.78
"109",1980-02-15,"00MA",0,2.75,NA,NA,2.35,30.35,4.98,0.11,0.61,0.72,7.63,298.78,104.9,40.96,8.41,0.08,38.98,NA,NA,8.4,55.96,94.85,0.59
"110",1980-02-15,"00MA",5,2.88,NA,NA,2.49,30.52,5.29,0.11,0.72,0.83,36,287.61,100.4,NA,8.4,0.02,39.13,NA,NA,8.1,NA,NA,0.65
"111",1980-02-15,"00MA",10,2.77,NA,NA,2.35,30.12,5.14,0.09,0.64,0.73,64,297.44,103.4,NA,8.43,0.01,38.62,NA,NA,8.1,NA,NA,0.16
"112",1980-02-15,"00MA",16,2.73,NA,NA,2.35,30.09,4.77,0.2,0.79,0.99,19.75,296.54,104.2,11.01,8.39,0.04,38.66,NA,NA,8.46,14.46,24.1,0.6
"113",1980-03-15,"000K",0,2.96,35.28,NA,2.36,30.2,6.3,0.05,0.26,0.31,1.86,291.18,104.5,15.63,8.63,0.14,39,NA,NA,9.42,28.99,82.83,0.35
"114",1980-03-15,"000K",5,2.77,NA,NA,2.17,29.93,3.34,0.06,0.45,0.51,7.5,300.56,107.7,NA,8.71,0.06,38.66,NA,NA,9.38,NA,NA,0.35
"115",1980-03-15,"000K",10,2.79,NA,NA,2.21,30.35,5.37,0.11,0.53,0.64,6.63,293.86,105.4,NA,8.63,0.08,39.18,NA,NA,9.34,NA,NA,0.17
"116",1980-03-15,"000K",16,2.81,29.92,NA,2.2,30.1,4.64,0.03,0.23,0.26,3.83,287.61,102.5,20.23,8.73,0.06,38.82,NA,NA,9.18,22.86,51.95,0.44
"117",1980-03-15,"00MA",0,2.99,NA,NA,2.54,30.24,1.27,0.03,0.84,0.87,84,298.78,106.7,16.51,8.42,0.01,39.02,NA,NA,9.21,24.16,185.85,0.13
"118",1980-03-15,"00MA",5,3.05,NA,NA,2.6,30.89,2.31,0.02,0.24,0.26,24,288.5,103.5,NA,8.42,0.01,39.83,NA,NA,9.21,NA,NA,2.22
"119",1980-03-15,"00MA",10,2.81,NA,NA,2.38,30.23,1.27,0.02,0.61,0.63,61,286.27,102.2,NA,8.4,0.01,39,NA,NA,9.21,NA,NA,0.01
"120",1980-03-15,"00MA",16,2.87,NA,NA,2.44,30.89,2.51,0.14,0.24,0.38,24,289.4,103.8,14.77,8.4,0.01,39.83,NA,NA,9.21,17.76,74,0.24
"121",1980-04-15,"000K",0,2.32,NA,NA,1.86,24,1.21,0.14,5,5.14,21.74,338.08,119.6,NA,8.36,0.23,31.4,NA,NA,11,NA,NA,1.6
